year,units,type
1994,11183,sfd
1995,11332,sfd
1996,12629,sfd
1997,11735,sfd
1998,12530,sfd
1999,12727,sfd
2000,11566,sfd
2001,12056,sfd
2002,12646,sfd
2003,14627,sfd
2004,15660,sfd
2005,18130,sfd
2006,17223,sfd
2007,11480,sfd
2008,4345,sfd
2009,4483,sfd
2010,5161,sfd
2011,4753,sfd
2012,6854,sfd
2013,8827,sfd
2014,7511,sfd
2015,8958,sfd
2016,9737,sfd
2017,11313,sfd
2018,12023,sfd
2019,11167,sfd
2020,14541,sfd
2021,16482,sfd
2022,11873,sfd
1994,476,duplexes
1995,608,duplexes
1996,576,duplexes
1997,504,duplexes
1998,582,duplexes
1999,560,duplexes
2000,456,duplexes
2001,434,duplexes
2002,424,duplexes
2003,478,duplexes
2004,624,duplexes
2005,818,duplexes
2006,702,duplexes
2007,674,duplexes
2008,148,duplexes
2009,146,duplexes
2010,172,duplexes
2011,136,duplexes
2012,178,duplexes
2013,148,duplexes
2014,122,duplexes
2015,170,duplexes
2016,194,duplexes
2017,262,duplexes
2018,242,duplexes
2019,218,duplexes
2020,536,duplexes
2021,489,duplexes
2022,389,duplexes
1994,912,townhomes
1995,1013,townhomes
1996,1119,townhomes
1997,1056,townhomes
1998,1199,townhomes
1999,1027,townhomes
2000,1071,townhomes
2001,1633,townhomes
2002,1596,townhomes
2003,2652,townhomes
2004,2646,townhomes
2005,3044,townhomes
2006,2959,townhomes
2007,3136,townhomes
2008,2013,townhomes
2009,1594,townhomes
2010,961,townhomes
2011,1198,townhomes
2012,945,townhomes
2013,2159,townhomes
2014,2818,townhomes
2015,2265,townhomes
2016,2724,townhomes
2017,4527,townhomes
2018,5480,townhomes
2019,5318,townhomes
2020,6324,townhomes
2021,7144,townhomes
2022,6757,townhomes
1994,923,small_multiplexes
1995,913,small_multiplexes
1996,543,small_multiplexes
1997,433,small_multiplexes
1998,377,small_multiplexes
1999,425,small_multiplexes
2000,367,small_multiplexes
2001,310,small_multiplexes
2002,323,small_multiplexes
2003,250,small_multiplexes
2004,299,small_multiplexes
2005,415,small_multiplexes
2006,407,small_multiplexes
2007,329,small_multiplexes
2008,137,small_multiplexes
2009,171,small_multiplexes
2010,35,small_multiplexes
2011,15,small_multiplexes
2012,89,small_multiplexes
2013,126,small_multiplexes
2014,53,small_multiplexes
2015,83,small_multiplexes
2016,120,small_multiplexes
2017,99,small_multiplexes
2018,205,small_multiplexes
2019,133,small_multiplexes
2020,1131,small_multiplexes
2021,2051,small_multiplexes
2022,933\,small_multiplexes
1994,1752,large_multifamily
1995,2762,large_multifamily
1996,3016,large_multifamily
1997,2576,large_multifamily
1998,2960,large_multifamily
1999,1895,large_multifamily
2000,1430,large_multifamily
2001,2069,large_multifamily
2002,1270,large_multifamily
2003,1803,large_multifamily
2004,1917,large_multifamily
2005,1819,large_multifamily
2006,858,large_multifamily
2007,1387,large_multifamily
2008,1975,large_multifamily
2009,2891,large_multifamily
2010,1372,large_multifamily
2011,2115,large_multifamily
2012,2470,large_multifamily
2013,2255,large_multifamily
2014,6539,large_multifamily
2015,4500,large_multifamily
2016,5319,large_multifamily
2017,4877,large_multifamily
2018,4980,large_multifamily
2019,9222,large_multifamily
2020,7543,large_multifamily
2021,11838,large_multifamily
2022,9434,large_multifamily
